2016/2017,2019,IS2110,2
17020018,B-,,
17020026,F,,
17020034,C+,,
17020042,B-,,
17020052,B,,
17020069,B,,
17020077,B+,,
17020085,B+,,
17020093,B-,,
17020107,C+,,
17020115,B+,,
17020123,C+,,
17020131,A,,
17020141,A-,,
17020158,F,,
17020166,C+,,
17020174,A-,,
17020182,B-,,
17020192,B+,,
17020204,A,,
17020212,B,,
17020222,F,,
17020239,B-,,
17020247,B-,,
17020255,B+,,
17020263,B,,
17020271,B,,
17020281,C,,
17020301,B+,,
17020311,B-,,
17020328,B,,
17020336,B,,
17020344,A-,,
17020352,B-,,
17020362,A,,
17020379,C,,
17020387,A-,,
17020395,C,,
17020409,C+,,
17020417,C,,
17020425,A,,
17020433,B,,
17020441,F,,
17020451,C,,
17020468,B-,,
17020476,B,,
17020484,C,,
17020492,F,,
17020522,A,,
17020532,A,,
17020549,B,,
17020557,B-,,
17020565,A,,
17020573,A-,,
17020581,A-,,
17020591,C,,
17020603,B+,,
17020611,C+,,
17020621,B+,,
17020638,E,,
17020646,B-,,
17020654,B,,
17020662,B+,,
17020672,B,,
17020689,B+,,
17020697,B,,
17020702,A-,,
17020719,B,,
17020727,C,,
17020735,A-,,
17020743,A,,
17020751,A-,,
17020761,B-,,
17020778,B-,,
17020786,C+,,
17020794,B+,,
17020808,B-,,
17020816,C+,,
17020824,A-,,
17020832,A,,
17020842,A,,
17020859,F,,
17020867,B-,,
17020875,A,,
17020883,B+,,
17020891,B-,,
17020905,B+,,
17020913,B-,,
17020931,F,,
17020948,C,,
17020956,C+,,
17020964,F,,
17020972,B+,,
17020982,B,,
17020999,C+,,
17021006,B-,,
17021014,A,,
17021022,B+,,
